canal,store,date,categorie,sousCat,nomArticle,new-Rework,quantite,instock,delivre,enCours,vente,remplacement
Boutique,boutique Tunis,2022-08-01,smartphone,samsung,SAMSUNG GALAXY A55,new,6,1,0,1,0,0
Boutique,boutique Tunis,2022-08-01,smartphone,samsung,SAMSUNG GALAXY A35,new,12,1,0,0,0,0
Franchise,store H,2022-08-01,smartphone,samsung,SAMSUNG GALAXY S24,new,9,1,0,0,0,0
Franchise,store H,2022-08-01,smartphone,xiaomi,XIAOMI REDMI A3,new,5,1,1,1,0,0
Boutique,boutique Tunis,2022-08-01,smartphone,xiaomi,XIAOMI REDMI NOTE 13,new,10,1,0,1,0,0
Boutique,boutique Tunis,2022-08-01,smartphone,xiaomi,XIAOMI REDMI 13C,new,6,1,1,1,0,0
Boutique,boutique Tunis,2022-08-01,smartphone,oppo,OPPO A38,new,9,1,1,1,0,0
Boutique,boutique Tunis,2022-08-01,smartphone,oppo,OPPO RENO 11F,new,4,1,0,1,0,0
Boutique,boutique Tunis,2022-08-01,smartphone,oppo,OPPO A18,new,6,1,0,1,0,0
Franchise,store H,2022-08-01,smartphone,infinix,INFINIX HOT 40,new,3,0,1,1,0,0
Boutique,boutique Tunis,2022-08-01,smartphone,infinix,INFINIX SMART 7,new,6,1,1,1,0,0
Franchise,store D,2022-08-01,mbb,flybox,Flybox 42 Go,rework,17,1,0,1,0,1
Franchise,store H,2022-08-01,mbb,flybox,Flybox 55 Go,rework,17,0,1,1,0,1
Boutique,boutique Tunis,2022-08-01,mbb,flybox,Flybox 75 Go,rework,13,0,1,0,0,0
Boutique,boutique Tunis,2022-08-01,mbb,fixbox,Fixbox Premium,new,13,0,0,1,0,1
Boutique,boutique Tunis,2022-08-01,mbb,airbox,Airbox 55 Go,rework,20,0,0,1,0,1
Boutique,boutique Tunis,2022-08-01,mbb,airbox,Airbox 100 Go,new,12,0,0,0,0,0
Boutique,boutique Tunis,2022-08-01,mbb,airbox,Airbox 150 Go,new,16,1,1,0,0,0
Boutique,boutique Tunis,2022-09-01,smartphone,samsung,SAMSUNG GALAXY A55,new,7,1,0,0,0,0
Boutique,boutique Tunis,2022-09-01,smartphone,samsung,SAMSUNG GALAXY A35,new,12,1,0,0,0,0
Franchise,store F,2022-09-01,smartphone,samsung,SAMSUNG GALAXY S24,new,12,0,1,0,1,0
Boutique,boutique Tunis,2022-09-01,smartphone,xiaomi,XIAOMI REDMI A3,new,5,1,1,0,0,0
Boutique,boutique Tunis,2022-09-01,smartphone,xiaomi,XIAOMI REDMI NOTE 13,new,10,1,0,1,0,0
Boutique,boutique Tunis,2022-09-01,smartphone,xiaomi,XIAOMI REDMI 13C,new,4,0,1,0,1,0
Franchise,store F,2022-09-01,smartphone,oppo,OPPO A38,new,10,0,0,1,0,0
Boutique,boutique Tunis,2022-09-01,smartphone,oppo,OPPO RENO 11F,new,6,1,0,1,0,0
Boutique,boutique Tunis,2022-09-01,smartphone,oppo,OPPO A18,new,6,1,1,1,0,0
Franchise,store E,2022-09-01,smartphone,infinix,INFINIX HOT 40,new,3,1,1,1,0,0
Franchise,store B,2022-09-01,smartphone,infinix,INFINIX SMART 7,new,7,0,0,1,0,0
Boutique,boutique Tunis,2022-09-01,mbb,flybox,Flybox 42 Go,rework,15,1,0,0,0,1
Boutique,boutique Tunis,2022-09-01,mbb,flybox,Flybox 55 Go,new,20,1,1,1,0,1
Boutique,boutique Tunis,2022-09-01,mbb,flybox,Flybox 75 Go,new,11,1,0,1,0,0
Boutique,boutique Tunis,2022-09-01,mbb,fixbox,Fixbox Premium,rework,16,1,1,1,0,0
Franchise,store C,2022-09-01,mbb,airbox,Airbox 55 Go,new,12,0,1,1,1,0
Boutique,boutique Tunis,2022-09-01,mbb,airbox,Airbox 100 Go,rework,18,0,0,1,0,0
Boutique,boutique Tunis,2022-09-01,mbb,airbox,Airbox 150 Go,rework,17,0,1,0,1,0
Boutique,boutique Tunis,2022-10-01,smartphone,samsung,SAMSUNG GALAXY A55,new,12,1,1,1,0,0
Boutique,boutique Tunis,2022-10-01,smartphone,samsung,SAMSUNG GALAXY A35,new,9,0,1,1,0,0
Boutique,boutique Tunis,2022-10-01,smartphone,samsung,SAMSUNG GALAXY S24,new,12,0,1,0,1,0
Boutique,boutique Tunis,2022-10-01,smartphone,xiaomi,XIAOMI REDMI A3,new,3,0,1,0,0,0
Franchise,store B,2022-10-01,smartphone,xiaomi,XIAOMI REDMI NOTE 13,new,4,1,0,1,0,0
Boutique,boutique Tunis,2022-10-01,smartphone,xiaomi,XIAOMI REDMI 13C,new,3,1,1,1,0,0
Boutique,boutique Tunis,2022-10-01,smartphone,oppo,OPPO A38,new,11,1,0,1,0,0
Boutique,boutique Tunis,2022-10-01,smartphone,oppo,OPPO RENO 11F,new,3,1,1,1,0,0
Boutique,boutique Tunis,2022-10-01,smartphone,oppo,OPPO A18,new,3,0,1,1,1,0
Boutique,boutique Tunis,2022-10-01,smartphone,infinix,INFINIX HOT 40,new,12,0,0,1,0,0
Boutique,boutique Tunis,2022-10-01,smartphone,infinix,INFINIX SMART 7,new,5,1,1,1,0,0
